Variable,Description
loan_id,Unique loan identifier
income,Borrower annual income in USD
age,Borrower age in years 
employment_years,Number of years the borrower has been employed 
credit_score,Borrower credit score 
loan_purpose,"Purpose of the loan ( e.g., car, home, education, business)"
loan_term,"Loan term duration (36 months, 60 months)"
loan_amount,Loan amount in USD 
loan_status,"Loan status of the borrower has 4 levels
 default- those that are already defaulted
 in grace period - they are 16-30 days past due date
current - they are upto date, no arrears at the moment
90+dpd - 90 days past due date"
